CCs,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,23.75,10.41666667,10.41666667,10.41666667,23.75,23.75,23.75,23.75,23.75,63.75,43.75,23.75
Feb,23.75,23.75,10.41666667,10.41666667,10.41666667,23.75,23.75,23.75,23.75,23.75,63.75,43.75
Mar,43.75,23.75,23.75,10.41666667,10.41666667,10.41666667,23.75,23.75,23.75,23.75,23.75,63.75
Apr,63.75,43.75,23.75,23.75,10.41666667,10.41666667,10.41666667,23.75,23.75,23.75,23.75,23.75
May,23.75,63.75,43.75,23.75,23.75,10.41666667,10.41666667,10.41666667,23.75,23.75,23.75,23.75
Jun,23.75,23.75,63.75,43.75,23.75,23.75,10.41666667,10.41666667,10.41666667,23.75,23.75,23.75
Jul,23.75,23.75,23.75,63.75,43.75,23.75,23.75,10.41666667,10.41666667,10.41666667,23.75,23.75
Aug,23.75,23.75,23.75,23.75,63.75,43.75,23.75,23.75,10.41666667,10.41666667,10.41666667,23.75
Sep,23.75,23.75,23.75,23.75,23.75,63.75,43.75,23.75,23.75,10.41666667,10.41666667,10.41666667
Oct,10.41666667,23.75,23.75,23.75,23.75,23.75,63.75,43.75,23.75,23.75,10.41666667,10.41666667
Nov,10.41666667,10.41666667,23.75,23.75,23.75,23.75,23.75,63.75,43.75,23.75,23.75,10.41666667
Dec,10.41666667,10.41666667,10.41666667,23.75,23.75,23.75,23.75,23.75,63.75,43.75,23.75,23.75
