DMF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,0.98,1.01,1.08,1.12,1.12,1.06,0.95,1.09,1.01,1.09,0.95,1.00,1.00,1.17,1.01,1.21,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,1.17,1.17,1.17,1.01,1.01,1.01,1.01,1.21,1.21,1.21,1.21
feb,0.98,1.01,1.08,1.12,1.04,1.06,0.95,1.09,1.01,1.09,0.95,1.00,1.00,1.17,1.01,1.21,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,1.17,1.17,1.17,1.01,1.01,1.01,1.01,1.21,1.21,1.21,1.21
mar,1.05,1.05,1.08,1.12,0.97,1.08,1.12,0.94,1.00,1.08,1.02,0.98,1.00,1.33,1.09,1.21,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98
apr,1.05,1.05,1.08,1.12,0.97,1.08,1.03,0.94,1.00,1.08,1.02,0.98,1.00,1.33,1.09,1.21,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98
may,1.05,1.05,1.08,1.12,0.97,1.08,1.03,0.94,1.00,1.08,1.02,0.98,1.00,1.33,1.09,1.21,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98,0.96,0.94,1.02,0.98
jun,0.99,0.95,1.08,1.12,0.98,1.01,0.93,0.94,0.93,1.00,1.01,0.96,1.00,1.00,1.09,1.00,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94
jul,0.99,0.95,1.08,1.12,0.98,1.01,0.93,0.94,0.93,1.00,1.01,0.96,1.00,1.00,1.09,1.00,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94,0.95,0.96,0.99,0.94
aug,0.99,0.95,1.08,1.12,0.98,1.01,0.93,0.94,0.93,1.00,1.01,0.96,1.00,1.00,1.09,1.00,1.00,0.96,0.99,0.94,1.00,0.96,0.99,0.94,1.00,0.96,0.99,0.94,1.00,0.96,0.99,0.94,1.00,0.96,0.99,0.94
sep,1.05,1.03,1.03,1.14,0.96,1.06,0.97,1.03,0.94,1.05,0.97,1.08,1.00,1.00,1.05,1.00,1.00,0.97,1.06,0.95,1.00,0.97,1.06,0.95,1.00,0.97,1.06,0.95,1.00,0.97,1.06,0.95,1.00,0.97,1.06,0.95
oct,1.05,1.03,1.03,1.14,0.96,1.06,0.97,1.03,0.94,1.05,0.97,1.08,1.00,1.00,1.05,1.00,1.00,0.97,1.06,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.05,1.05,1.05,1.00,1.00,1.00,1.00
nov,1.05,1.03,1.03,1.14,0.96,1.06,0.97,1.03,0.94,1.05,0.97,1.08,1.00,1.00,1.05,1.00,1.00,0.97,1.06,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.05,1.05,1.05,1.05,1.00,1.00,1.00,1.00
dec,0.98,1.01,1.08,1.12,1.04,1.06,0.95,1.09,1.01,1.09,0.95,1.00,1.00,1.17,1.01,1.21,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,1.17,1.17,1.17,1.01,1.01,1.01,1.01,1.21,1.21,1.21,1.21
