PRODREST,PFStep1,PFStep2,PFStep3,PFStep4,PFStep5,PFStep6
Jan,9.019157518,6.146018696,3.497734217,2.548349216,2.198575794,1.573980398
Feb,9.893531644,6.741852589,3.836826676,2.795402293,2.411719625,1.726572004
Mar,9.491195872,6.467684722,3.680796183,2.681722933,2.313643315,1.656358282
Apr,8.754896032,5.965940232,3.395250539,2.473682535,2.134157481,1.527862742
May,7.920446828,5.397312797,3.071641429,2.237910184,1.930746041,1.382238643
Jun,7.082523015,4.826317622,2.746684826,2.001156087,1.726487605,1.236008172
Jul,6.284134763,4.282263578,2.437060573,1.775572703,1.531866646,1.096677258
Aug,5.544756918,3.778421612,2.150321243,1.56666262,1.351630495,0.967644559
Sep,4.8719219,3.319924619,1.889387994,1.37655411,1.187615311,0.850224597
Oct,4.266782837,2.907558388,1.654708026,1.20557299,1.040102187,0.744618611
Nov,0,0,0,0,0,0
Dec,0,0,0,0,0,0
