UDPF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,128,76,76,69,97,143,131,123,79,108,50,93,58,114,121,75,130,141,150,86,58,58,58,58,114,114,114,114,121,121,121,121,75,75,75,75
feb,128,76,76,69,97,143,131,123,79,108,50,93,58,114,121,75,130,141,150,86,58,58,58,58,114,114,114,114,121,121,121,121,75,75,75,75
mar,128,76,76,69,97,143,131,123,79,108,50,93,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
apr,128,76,76,69,97,143,131,123,79,108,50,93,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
may,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
jun,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
jul,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
aug,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
sep,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86,130,141,150,86
oct,136,101,76,69,119,143,148,123,101,108,112,117,58,114,121,75,130,141,150,86,130,141,150,86,130,141,150,86,130,121,121,121,130,141,150,86
nov,128,76,76,69,97,143,131,123,79,108,50,93,58,114,121,75,130,141,150,86,58,58,58,58,114,114,114,114,121,121,121,121,75,75,75,75
dec,128,76,76,69,97,143,131,123,79,108,50,93,58,114,121,75,130,141,150,86,58,58,58,58,114,114,114,114,121,121,121,121,75,75,75,75
