UreaF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,104,111,0,114,75,91,0,54,58,0,78,0,0,123,127,0,0,0,0,0,0,0,0,0,123,123,123,123,110,110,110,110,0,0,0,0
feb,52,111,0,114,75,46,83,0,58,0,78,0,0,123,127,0,0,0,0,0,0,0,0,0,123,123,123,123,110,110,110,110,0,0,0,0
mar,104,55,0,114,75,91,83,0,58,0,78,0,0,123,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apr,52,111,0,57,75,46,83,54,117,0,78,0,0,0,63,0,277,56,0,93,256,52,0,93,256,52,0,93,256,52,0,93,256,52,0,93
may,52,55,0,57,75,46,83,108,58,0,78,0,0,123,63,0,139,111,0,93,128,104,0,93,128,104,0,93,128,104,0,93,128,104,0,93
jun,52,55,0,0,75,46,83,54,58,0,0,0,0,0,63,0,0,56,0,0,0,52,0,0,0,52,0,0,0,52,0,0,0,52,0,0
jul,0,0,0,0,75,0,83,54,58,0,78,0,0,0,0,0,139,56,0,93,128,52,0,93,128,52,0,93,128,52,0,93,128,52,0,93
aug,52,55,0,0,75,46,83,54,58,0,0,0,0,0,0,0,0,56,0,0,0,52,0,0,0,52,0,0,0,52,0,0,0,52,0,0
sep,0,55,0,0,75,46,83,54,58,0,78,0,0,0,0,0,0,56,0,93,0,52,0,93,0,52,0,93,0,52,0,93,0,52,0,93
oct,52,111,0,57,75,46,83,54,117,0,78,0,1308,0,63,0,139,56,0,93,1308,1308,1308,1308,128,0,0,0,55,55,55,55,0,0,0,0
nov,104,55,0,114,0,91,83,108,117,0,78,0,0,0,127,0,0,56,0,0,0,0,0,0,0,0,0,0,110,110,110,110,0,0,0,0
dec,104,111,0,114,0,46,83,54,58,0,78,0,0,123,127,0,0,0,0,0,0,0,0,0,123,123,123,123,110,110,110,110,0,0,0,0
