xMultiSolvesTable,dMAxWH,dKIxRR,dRP,dMA,dMinPercent,dWater,dMaxCows,dPRlim,dRPlim,dRElim,dWClim,dUni,dSeas,dSeasC,d6000s,d9000s
MAxWH1,1,0,0,0,0,67,800,0,0,0,0,1,0,1,1,0
MAxWH2,1,0,0,0,0.25,67,800,0,0,0,0,1,0,1,1,0
MAxWH3,1,0,0,0,0.5,67,800,0,0,0,0,1,0,1,1,0
MAxWH4,1,0,0,0,0.75,67,800,0,0,0,0,1,0,1,1,0
MAxWH5,1,0,0,0,1,67,800,0,0,0,0,1,0,1,1,0
KIxRR1,0,1,0,0,0,67,800,0,0,0,0,1,0,1,1,0
KIxRR2,0,1,0,0,0.25,67,800,0,0,0,0,1,0,1,1,0
KIxRR3,0,1,0,0,0.5,67,800,0,0,0,0,1,0,1,1,0
KIxRR4,0,1,0,0,0.75,67,800,0,0,0,0,1,0,1,1,0
KIxRR5,0,1,0,0,1,67,800,0,0,0,0,1,0,1,1,0
RP1,0,0,1,0,0,67,800,0,0,0,0,1,0,1,1,0
RP2,0,0,1,0,0.25,67,800,0,0,0,0,1,0,1,1,0
RP3,0,0,1,0,0.5,67,800,0,0,0,0,1,0,1,1,0
RP4,0,0,1,0,0.75,67,800,0,0,0,0,1,0,1,1,0
RP5,0,0,1,0,1,67,800,0,0,0,0,1,0,1,1,0
MA1,0,0,0,1,0,67,800,0,0,0,0,1,0,1,1,0
MA2,0,0,0,1,0.25,67,800,0,0,0,0,1,0,1,1,0
MA3,0,0,0,1,0.5,67,800,0,0,0,0,1,0,1,1,0
MA4,0,0,0,1,0.75,67,800,0,0,0,0,1,0,1,1,0
MA5,0,0,0,1,1,67,800,0,0,0,0,1,0,1,1,0
Water1,0,0,0,0,0,22,800,0,0,0,0,1,0,1,1,0
Water2,0,0,0,0,0,44.5,800,0,0,0,0,1,0,1,1,0
Water3,0,0,0,0,0,67,800,0,0,0,0,1,0,1,1,0
Water4,0,0,0,0,0,89.5,800,0,0,0,0,1,0,1,1,0
Water5,0,0,0,0,0,112,800,0,0,0,0,1,0,1,1,0
RPout,0,0,0,0,0,67,800,0,1,0,0,1,0,1,1,0
PRout,0,0,0,0,0,67,800,1,1,0,0,1,0,1,1,0
REout,0,0,0,0,0,67,800,1,1,1,0,1,0,1,1,0
WCout,0,0,0,0,0,67,800,1,1,1,1,1,0,1,1,0
Base,0,0,0,0,0,67,800,0,0,0,0,1,0,1,1,0
SeasP,0,0,0,0,0,67,800,0,0,0,0,0,1,1,1,0
SeasC,0,0,0,0,0,67,800,0,0,0,0,1,0,0,1,0
SeasPSeasC,0,0,0,0,0,67,800,0,0,0,0,0,1,0,1,0
Stock2,0,0,0,0,0,67,400,0,0,0,0,1,0,1,1,0
Stock3,0,0,0,0,0,67,600,0,0,0,0,1,0,1,1,0
Stock4,0,0,0,0,0,67,800,0,0,0,0,1,0,1,1,0
Stock5,0,0,0,0,0,67,1000,0,0,0,0,1,0,1,1,0
Stock6,0,0,0,0,0,67,1200,0,0,0,0,1,0,1,1,0
Prod9000s,0,0,0,0,0,67,800,0,0,,,1,0,1,0,1
